iter	Passed	Remaining
746	4662	1579
747	4668	1572
748	4674	1566
749	4680	1560
750	4686	1553
751	4692	1547
752	4698	1541
753	4704	1534
754	4710	1528
755	4716	1522
756	4722	1515
757	4728	1509
758	4734	1503
759	4740	1496
760	4746	1490
761	4752	1484
762	4757	1477
763	4763	1471
764	4769	1465
765	4775	1458
766	4781	1452
767	4787	1446
768	4793	1440
769	4799	1433
770	4806	1427
771	4812	1421
772	4818	1414
773	4824	1408
774	4830	1402
775	4836	1396
776	4842	1389
777	4848	1383
778	4854	1377
779	4860	1371
780	4866	1364
781	4872	1358
782	4878	1352
783	4884	1345
784	4891	1339
785	4896	1333
786	4902	1326
787	4908	1320
788	4914	1314
789	4920	1308
790	4926	1301
791	4932	1295
792	4938	1289
793	4945	1283
794	4951	1276
795	4957	1270
796	4964	1264
797	4970	1258
798	4976	1252
799	4983	1245
800	4990	1239
801	4996	1233
802	5002	1227
803	5009	1221
804	5015	1214
805	5021	1208
806	5026	1202
807	5032	1195
808	5038	1189
809	5044	1183
810	5050	1176
811	5056	1170
812	5062	1164
813	5067	1157
814	5073	1151
815	5079	1145
816	5085	1139
817	5091	1132
818	5097	1126
819	5103	1120
820	5109	1113
821	5115	1107
822	5121	1101
823	5127	1095
824	5133	1088
825	5139	1082
826	5145	1076
827	5151	1070
828	5158	1063
829	5164	1057
830	5170	1051
831	5176	1045
832	5183	1039
833	5188	1032
834	5194	1026
835	5200	1020
836	5206	1013
837	5212	1007
838	5218	1001
839	5224	995
840	5230	988
841	5236	982
842	5242	976
843	5248	970
844	5254	963
845	5260	957
846	5266	951
847	5272	945
848	5278	938
849	5284	932
850	5290	926
851	5297	920
852	5302	913
853	5309	907
854	5315	901
855	5321	895
856	5327	888
857	5333	882
858	5338	876
859	5344	870
860	5351	863
861	5357	857
862	5363	851
863	5369	845
864	5375	838
865	5382	832
866	5388	826
867	5394	820
868	5400	814
869	5407	807
870	5413	801
871	5420	795
872	5426	789
873	5432	783
874	5439	777
875	5445	770
876	5451	764
877	5457	758
878	5463	752
879	5469	745
880	5475	739
881	5481	733
882	5487	727
883	5494	720
884	5500	714
885	5507	708
886	5513	702
887	5520	696
888	5526	690
889	5533	683
890	5540	677
891	5548	671
892	5555	665
893	5562	659
894	5570	653
895	5577	647
896	5584	641
897	5591	635
898	5598	629
899	5605	622
900	5612	616
901	5618	610
902	5625	604
903	5632	598
904	5639	591
905	5645	585
906	5652	579
907	5658	573
908	5665	567
909	5671	560
910	5677	554
911	5684	548
912	5691	542
913	5697	536
914	5703	529
915	5709	523
916	5716	517
917	5722	511
918	5728	504
919	5735	498
920	5742	492
921	5748	486
922	5754	480
923	5761	473
924	5767	467
925	5773	461
926	5780	455
927	5787	448
928	5793	442
929	5799	436
930	5805	430
931	5811	424
932	5817	417
933	5824	411
934	5830	405
935	5837	399
936	5843	392
937	5849	386
938	5855	380
939	5862	374
940	5868	367
941	5875	361
942	5881	355
943	5888	349
944	5894	343
945	5901	336
946	5907	330
947	5914	324
948	5920	318
949	5927	311
950	5933	305
951	5939	299
952	5945	293
953	5951	286
954	5958	280
955	5964	274
956	5970	268
957	5976	262
958	5982	255
959	5988	249
960	5994	243
961	6000	237
962	6007	230
963	6013	224
964	6019	218
965	6025	212
966	6031	205
967	6038	199
968	6044	193
969	6050	187
970	6057	180
971	6063	174
972	6069	168
973	6075	162
974	6082	155
975	6088	149
976	6095	143
977	6101	137
978	6108	131
979	6114	124
980	6120	118
981	6126	112
982	6132	106
983	6139	99
984	6146	93
985	6153	87
986	6160	81
987	6166	74
988	6172	68
989	6178	62
990	6185	56
991	6191	49
992	6198	43
993	6204	37
994	6211	31
995	6217	24
996	6223	18
997	6230	12
998	6237	6
999	6243	0
